id,price
188533,18591.837027706006
188534,74194.96014357291
188535,54063.43607538725
188536,24517.158870094587
188537,30343.737952228483
188538,16716.626921480478
188539,11982.575081127241
188540,44719.71125086509
188541,89116.0335180714
188542,36080.476021364586
188543,29538.453104115382
188544,11315.128060415042
188545,55138.82827934
188546,116237.71672127825
188547,17546.8179886214
188548,149159.57371170062
188549,19920.167135002397
188550,9269.853109839292
188551,79976.99780214984
188552,58323.03109720929
188553,72169.95346072926
188554,21548.485170814194
188555,37767.0262951676
188556,19705.161699276847
188557,19349.009327443673
188558,81114.2845796365
188559,25737.8631291935
188560,18933.793429888025
188561,73466.93784019108
188562,23541.60033045341
188563,89476.23541337288
188564,39601.53190528452
188565,54520.413209731625
188566,31050.493032802075
188567,14923.211614190162
188568,45670.67546511376
188569,17513.045488613727
188570,16297.809796907413
188571,34664.4111793502
188572,97360.77699215178
188573,30293.965391054295
188574,34242.7048384081
188575,43539.482215103315
188576,32963.85456173788
188577,11640.353940666026
188578,34831.86055774696
188579,46607.93486528302
188580,37303.436168514025
188581,86972.03578473571
188582,25323.01612885712
188583,97486.3052688412
188584,29273.63044454669
188585,38123.84259761569
188586,32228.050867163543
188587,58892.6505495018
188588,28359.234396266398
188589,16409.49483091123
188590,29769.235510845025
188591,26150.699782338375
188592,37370.91581849537
188593,26999.30733783773
188594,72819.87933619141
188595,26259.64664705951
188596,46515.872187336114
188597,26808.531925119092
188598,26469.658641028356
188599,12733.27880899753
188600,65096.12035101236
188601,56262.489919360014
188602,32990.834337674125
188603,134614.2821726216
188604,10983.500136784482
188605,35132.98981746846
188606,36772.57180958612
188607,64822.8700566712
188608,13266.690649608474
188609,55814.85713717601
188610,50832.62487766331
188611,20392.750134114893
188612,76603.90956566458
188613,22660.185648477473
188614,18232.645172709563
188615,33213.69707964716
188616,84877.14476541715
188617,45180.20894489501
188618,25197.708298872916
188619,85148.55873553564
188620,24351.12192113742
188621,21385.196684825125
188622,73722.01585068402
188623,54272.52566991955
188624,41025.2903560692
188625,28230.19991701554
188626,17790.78804566877
188627,102639.43005542777
188628,80971.08290853682
188629,26877.050288723498
188630,23783.771576985975
188631,54271.293662902164
188632,53838.518940448805
188633,59008.840455439065
188634,9610.548809674741
188635,28273.570245644354
188636,47070.507189984506
188637,10051.15224206749
188638,36504.69792160165
188639,25993.889964776587
188640,11525.205388770586
188641,24586.148851156842
188642,13118.040205197418
188643,110110.37470377813
188644,104405.92611377436
188645,57545.625372667535
188646,10177.103525689543
188647,24747.974233315515
188648,26414.363251908304
188649,32421.26890792841
188650,111530.13769708465
188651,51095.634257176804
188652,61898.49321980404
188653,74757.67964619218
188654,12058.060913581783
188655,19634.866489984
188656,28195.26413135096
188657,33711.34454677923
188658,9800.588946193799
188659,63762.100957181145
188660,10241.948552769725
188661,90807.67184378933
188662,10350.640206981627
188663,16408.819405097107
188664,82332.71443466756
188665,129964.2191282378
188666,24684.67067610523
188667,10597.58260564433
188668,17188.661762789536
188669,24160.29562460923
188670,62685.960450158884
188671,20257.382998305005
188672,27964.332532533143
188673,61012.879072726624
188674,13522.116524675066
188675,32874.24409079207
188676,50356.35783827869
188677,9866.909602973668
188678,33461.07132910145
188679,30885.75872221134
